,process,product_name,type,unit,value,product_type,carbon_content,data_source,flow_amount,flowxvalue,ghg,bdv,health
52,"ethylene_glycol, from ethylene via eo_co2",cooling_water,UTILITIES,MJ,-6.285389396787137,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
53,"ethylene_oxide, from ethylene by oxygen oxidation_co2",cooling_water,UTILITIES,MJ,-5.184250216543958,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
54,"gpps, by continuous bulk polymerization_co2",cooling_water,UTILITIES,MJ,-0.548694781290602,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
55,"hdpe, by gas phase process_co2",cooling_water,UTILITIES,MJ,-2.2559959668687743,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
56,"ldpe, by gas phase process_co2",cooling_water,UTILITIES,MJ,-1.942681987151725,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
57,"nitrobenzene, from benzene by nitration_co2",cooling_water,UTILITIES,MJ,-1.5360740580337806,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
58,"pet, by tpa process_co2",cooling_water,UTILITIES,MJ,-0.7060293958423559,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
59,"polymeric_mdi, by phosgenation_co2",cooling_water,UTILITIES,MJ,-5.602415968973945,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
60,"polyol_polyether, from po and eo by semi-continuous process_co2",cooling_water,UTILITIES,MJ,-0.5172956366392377,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
61,"pp, by gas phase process_co2",cooling_water,UTILITIES,MJ,-2.252720513930995,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
62,"pur_flexible, from toluene diisocyanate and polyol_co2",cooling_water,UTILITIES,MJ,-0.03953131766998701,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
63,"pvc, by suspension polymerization_co2",cooling_water,UTILITIES,MJ,-0.9284213043164429,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
64,"terephthalic_acid, from p-xylene by air oxidation_co2",cooling_water,UTILITIES,MJ,-5.649354719825433,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
65,"vinyl_chloride, from ethylene by a balanced process_co2",cooling_water,UTILITIES,MJ,-3.8740694023386744,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
66,"diethylene_glycol, from ethylene via eo_co2",diethylene_glycol_co2,PRODUCT,kg,1.0,intermediate,0.453,ihsmarkit,0.0,0.0,,,
67,"polyol_polyester, from adipic acid and deg_co2",diethylene_glycol_co2,RAW MATERIALS,kg,-0.5001,intermediate,0.453,ihsmarkit,0.0,-0.0,,,
68,"dinitrotoluene, from toluene by nitration_co2",dinitrotoluene_co2,PRODUCT,kg,1.0,intermediate,0.462,ihsmarkit,0.0,0.0,,,
69,"acetic_acid, from methanol carbonylation_co2",electricity,UTILITIES,kWh,-0.0931159122222222,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
70,"adipic_acid, from phenol via cyclohexanol_co2",electricity,UTILITIES,kWh,-0.0748754310430185,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
71,"butene_1, from ethylene by dimerization_co2",electricity,UTILITIES,kWh,-0.13897721,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
72,"diethylene_glycol, from ethylene via eo_co2",electricity,UTILITIES,kWh,-1.4629220181926272,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
73,"dinitrotoluene, from toluene by nitration_co2",electricity,UTILITIES,kWh,-0.0485017,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
74,"ethylene_glycol, from ethylene via eo_co2",electricity,UTILITIES,kWh,-0.9876390538073933,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
75,"ethylene_oxide, from ethylene by oxygen oxidation_co2",electricity,UTILITIES,kWh,-0.470962505,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
76,"gpps, by continuous bulk polymerization_co2",electricity,UTILITIES,kWh,-0.078705025,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
77,"hdpe, by gas phase process_co2",electricity,UTILITIES,kWh,-0.3662815125,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
78,"ldpe, by gas phase process_co2",electricity,UTILITIES,kWh,-0.2932295066666666,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
79,"nitrobenzene, from benzene by nitration_co2",electricity,UTILITIES,kWh,-0.036376275,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
80,"pet, by tpa process_co2",electricity,UTILITIES,kWh,-0.05379169,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
81,"polymeric_mdi, by phosgenation_co2",electricity,UTILITIES,kWh,-0.8592034336534733,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
82,"polyol_polyester, from adipic acid and deg_co2",electricity,UTILITIES,kWh,-0.61224575,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
83,"polyol_polyether, from po and eo by semi-continuous process_co2",electricity,UTILITIES,kWh,-0.0551155699999999,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
84,"pp, by gas phase process_co2",electricity,UTILITIES,kWh,-0.3029077983333333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
85,"pur_flexible, from toluene diisocyanate and polyol_co2",electricity,UTILITIES,kWh,-0.13437175,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
86,"pur_rigid, from polymeric MDI and polyol_co2",electricity,UTILITIES,kWh,-1.2478163999999998,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
87,"pvc, by suspension polymerization_co2",electricity,UTILITIES,kWh,-0.3264825666666667,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
