process,product_name,type,unit,value,product_type,carbon_content,data_source
"pet, by tpa process",electricity,UTILITIES,kWh,-0.05379169,intermediate,0.0,ihsmarkit
"polybutadiene, by solution process",electricity,UTILITIES,kWh,-0.5606752179999999,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",electricity,UTILITIES,kWh,-0.8592034336534733,intermediate,0.0,ihsmarkit
"polyol_polyester, from adipic acid and deg",electricity,UTILITIES,kWh,-0.61224575,intermediate,0.0,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",electricity,UTILITIES,kWh,-0.0551155699999999,intermediate,0.0,ihsmarkit
"pp, by gas phase process",electricity,UTILITIES,kWh,-0.3029077983333333,intermediate,0.0,ihsmarkit
"pur_flexible, from toluene diisocyanate and polyol",electricity,UTILITIES,kWh,-0.13437175,intermediate,0.0,ihsmarkit
"pur_rigid, from polymeric MDI and polyol",electricity,UTILITIES,kWh,-1.2478163999999998,intermediate,0.0,ihsmarkit
"pvc, by suspension polymerization",electricity,UTILITIES,kWh,-0.3264825666666667,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",electricity,UTILITIES,kWh,-0.2213915961538462,intermediate,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",electricity,UTILITIES,kWh,-0.06948971,intermediate,0.0,ihsmarkit
"butene_1, from ethylene by dimerization",ethylene,RAW MATERIALS,kg,-1.05515,intermediate,0.85714,ihsmarkit
"diethylene_glycol, from ethylene via eo",ethylene,RAW MATERIALS,kg,-0.8418342626022521,intermediate,0.85714,ihsmarkit
"ethylene_glycol, from ethylene via eo",ethylene,RAW MATERIALS,kg,-0.5683340494159247,intermediate,0.85714,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",ethylene,RAW MATERIALS,kg,-0.796435,intermediate,0.85714,ihsmarkit
"hdpe, by gas phase process",ethylene,RAW MATERIALS,kg,-1.00505,intermediate,0.85714,ihsmarkit
"ldpe, by gas phase process",ethylene,RAW MATERIALS,kg,-0.96736,intermediate,0.85714,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",ethylene,RAW MATERIALS,kg,-0.4674,intermediate,0.85714,ihsmarkit
"ethylene_glycol, from ethylene via eo",ethylene_glycol,PRODUCT,kg,1.0,intermediate,0.387,ihsmarkit
"pet, by tpa process",ethylene_glycol,RAW MATERIALS,kg,-0.328665,intermediate,0.387,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",ethylene_oxide,PRODUCT,kg,1.0,intermediate,0.545,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",ethylene_oxide,RAW MATERIALS,kg,-0.1007,intermediate,0.545,ihsmarkit
"polymeric_mdi, by phosgenation",formaldehyde,RAW MATERIALS,kg,-0.0588735527677667,intermediate,0.4,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",glycerin,RAW MATERIALS,kg,-0.031,raw_material,0.39,ihsmarkit
"gpps, by continuous bulk polymerization",gpps,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
"hdpe, by gas phase process",hdpe,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
