Model,Scenario,Category,IMP_marker,Region,Variable,Unit,2010,2020,2030,2040,2050
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,15.3775,29.4214,94.3845,167.3358,218.0176
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.5293,8.0689,6.863,5.5004,3.727
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Solar,EJ/yr,0.2979,3.4398,40.3558,74.4636,95.2099
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Wind,EJ/yr,2.0322,5.5474,29.6316,66.8182,96.078
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.2751,3.3447,40.0035,73.933,94.2103
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0228,0.0951,0.3523,0.5305,0.9995
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,313.9548,1439.8892,2403.9524
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,407.2524,926.708,558.4828
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Final Energy|Industry|Electricity,EJ/yr,28.1065,39.5486,45.6219,58.9238,68.6436
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity,EJ/yr,77.8874,105.4952,141.9829,237.0837,307.7582
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.2266,2.1394,3.0587,4.2258,5.2961
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.3484,1.2507,2.2369,2.224,1.8674
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.8053,19.0874,22.2256,23.775,24.3729
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,15.5944,29.0111,110.1563,210.7426,281.5128
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.5139,7.971,6.7544,5.41,3.9553
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Solar,EJ/yr,0.2997,3.3349,56.3847,122.5531,170.0357
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Wind,EJ/yr,2.1409,5.3381,29.3091,62.1906,85.2368
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.2771,3.2431,56.0528,121.9405,168.713
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0226,0.0918,0.3319,0.6125,1.3227
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,World,Final Energy|Industry|Chemicals|Electricity,EJ/yr,3.8225,5.7026,7.7035,13.1155,19.7711
WITCH 5.0,CO_Bridge,C3,GS,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0175999299882224,0.0217935302423804,106.967046447375,353.848881477381,658.270670841364
WITCH 5.0,CO_Bridge,C3,GS,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0386526357360697,0.0803331981254706,62.4617052786925,1596.39537140313,1996.39812823231
WITCH 5.0,CO_Bridge,C3,GS,World,Final Energy|Industry|Electricity,EJ/yr,26.66686160906,38.0858773543214,27.597807039162,40.1055654551326,65.4510435755407
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity,EJ/yr,76.0871586327391,105.168039597155,120.515576371662,168.786066705891,276.381762837721
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.50702743527473,1.68680685502773,1.89351868504357,2.89464331227106,3.37635948550089
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.527543739816,18.8850592351267,24.2520573853445,27.2664629071392,29.5294016243402
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,14.154027056233,29.1830808991205,55.258933021615,131.276215248435,245.570695966561
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.428980685904,9.97484646857723,14.5313600614632,18.0046224232887,19.4609552290497
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Solar,EJ/yr,0.264038415823687,3.96022464990379,16.5922297709752,63.3081801810476,114.472188752939
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Wind,EJ/yr,1.36244490059328,6.33779701408998,14.4146458652953,40.701572160248,101.569105589282
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.244193674493595,3.35789875867869,10.9182853279641,49.5039224574771,87.8909128020227
WITCH 5.0,CO_Bridge,C3,GS,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0198447413300917,0.602325891225099,5.67394444301106,13.8042577235705,26.581275950916
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity,EJ/yr,66.06481580259279,82.2432192944815,110.51497035862212,145.42844291682044,169.86348981707187
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Carbon Sequestration|CCS|Fossil,EJ/yr,0.0,0.0,0.0,0.0,0.0
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,1.4615999999999998,0.6960999999999999,10.7675
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,115.9267,286.5662,431.4141
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Final Energy|Industry|Electricity,EJ/yr,0.9241,1.1847,2.0572,2.5543,3.6507
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity,EJ/yr,2.3046,3.2307,4.7033000000000005,5.992900000000001,8.450199999999999
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Biomass,EJ/yr,0.0059,0.0086,0.0203,0.0602,0.2216999999999999
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0049,0.0166,0.0202,0.0247,0.0301
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Hydro,EJ/yr,0.3731,0.4946,1.4186,1.468,1.6334
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.391,0.5715,1.9017,2.7768,5.3491
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0422,0.0507,0.1388,0.1384999999999999,0.1381
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Solar,EJ/yr,0.0049,0.0312,0.2378,0.6492,1.9285
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.0049,0.0312,0.2378,0.6492,1.9285
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10AFRICA,Secondary Energy|Electricity|Wind,EJ/yr,0.0081999999999999,0.0290999999999999,0.2246,0.6312,1.7122
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,2.668,1.1481,17.9202
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,107.3065,197.6282,323.2434
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Final Energy|Industry|Electricity,EJ/yr,1.9722,2.4337,4.7045,5.17,6.5315
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Secondary Energy|Electricity,EJ/yr,4.7721,6.1229,9.6139,10.6742,13.086
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Secondary Energy|Electricity|Biomass,EJ/yr,0.1521,0.2556,0.3257,0.4596,0.8392
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,R10LATIN_AM,Secondary Energy|Electricity|Geothermal,EJ/yr,0.035,0.0397,0.0484,0.059,0.0719
