product_from,product_to,unit,flow_amount,flowxbdv,flowxcarbon,flowxcc
other_intermediates,co2_feedstock,kg,0.43687822788600783,4.368782278860078e-11,0.11914860760527485,4.368782278860078e-11
other_intermediates,ethanol,kg,27.608572748230408,36.85024782631405,5.354247082593704,4.093122860245565
other_intermediates,glucose,kg,0.18057039077797477,4.486767432647131,0.09570230711232663,0.7044679188470986
other_intermediates,hips,kg,0.2861084602630922,13.391792314348669,0.2540643127136259,0.9589944910839381
other_intermediates,lactic_acid,kg,16.749440112455247,48.92099151214091,6.127001980382932,3.6923700708910854
other_intermediates,methanol,kg,0.3390252527605322,1.6405890630685767,0.12713446978519957,0.10298012371545771
other_intermediates,pet,kg,1.3171925701890908,24.428665816972035,0.5097535246631781,1.6792313723056946
other_intermediates,pur_flexible,kg,23.995024553039844,473.18050545408596,14.719245162739448,40.43632712847439
other_intermediates,pur_rigid,kg,14.650556924732829,242.00887275544926,9.846182860435693,37.99610419253231
other_intermediates,terephthalic_acid,kg,0.19384500411525415,0.6993255107509333,0.0669822067648737,0.05529813254796504
other_raw_materials,other_intermediates,kg,4.618084374947575,8.028358978457067,1.8010529062295544,2.6026818187200105
pbs,Other,kg,3.2744870112892785,12.19677241793508,1.8276206574637834,3.108317825471876
pbs,Packaging,kg,10.9321249699314,40.71985622266354,6.101651146008223,10.377356452223234
pbs,Transport,kg,6.818525864228572,25.397568506175098,3.8056888544531566,6.47250864460685
pbs,co2_emission,kg,19.216975990740615,0.0,5.2409934520201675,0.0
pet,Consumer products,kg,0.33156218682737904,5.2178360454728905,0.20888417770124879,0.34028052222777794
pet,Packaging,kg,3.676143441058434,57.851934017644496,2.3159703678668135,3.7728066094546846
pla,Building and Construction,kg,15.21902526322188,112.72403598962269,7.60951263161094,6.55517916705939
pla,Consumer products,kg,3.5431019148607596,26.242991312382745,1.7715509574303798,1.526094310073219
pla,Packaging,kg,77.31059803563508,572.6229166862728,38.65529901781754,33.29942705731543
