process,product_name,type,unit,value,product_type,carbon_content,data_source
waste incineration from pur_flexible_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pur_flexible_waste,co2_emission,EMISSION,kg,2.236666666666667,emission,0.2727272727272727,mass balance
waste incineration from pur_flexible_waste,pur_flexible_waste,RAW MATERIALS,kg,-1.0,waste,0.61,mass balance
waste incineration from pur_rigid_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pur_rigid_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pur_rigid_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pur_rigid_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pur_rigid_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pur_rigid_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pur_rigid_waste,co2_emission,EMISSION,kg,2.31,emission,0.2727272727272727,mass balance
waste incineration from pur_rigid_waste,pur_rigid_waste,RAW MATERIALS,kg,-1.0,waste,0.63,mass balance
waste incineration from pet_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pet_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pet_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pet_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pet_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pet_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pet_waste,co2_emission,EMISSION,kg,2.31,emission,0.2727272727272727,mass balance
waste incineration from pet_waste,pet_waste,RAW MATERIALS,kg,-1.0,waste,0.63,mass balance
waste incineration from hips_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from hips_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from hips_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from hips_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from hips_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from hips_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from hips_waste,co2_emission,EMISSION,kg,3.3843333333333336,emission,0.2727272727272727,mass balance
waste incineration from hips_waste,hips_waste,RAW MATERIALS,kg,-1.0,waste,0.923,mass balance
waste incineration from pbat_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pbat_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pbat_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pbat_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pbat_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pbat_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pbat_waste,co2_emission,EMISSION,kg,2.321,emission,0.2727272727272727,mass balance
waste incineration from pbat_waste,pbat_waste,RAW MATERIALS,kg,-1.0,waste,0.633,mass balance
waste incineration from pbs_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pbs_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pbs_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pbs_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pbs_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pbs_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pbs_waste,co2_emission,EMISSION,kg,2.046511627906977,emission,0.2727272727272727,mass balance
waste incineration from pbs_waste,pbs_waste,RAW MATERIALS,kg,-1.0,waste,0.5581395348837209,mass balance
waste incineration from pla_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pla_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pla_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pla_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pla_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pla_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pla_waste,co2_emission,EMISSION,kg,1.8333333333333333,emission,0.2727272727272727,mass balance
waste incineration from pla_waste,pla_waste,RAW MATERIALS,kg,-1.0,waste,0.5,mass balance
waste incineration from phb_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from phb_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from phb_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from phb_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from phb_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from phb_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from phb_waste,co2_emission,EMISSION,kg,2.046511627906977,emission,0.2727272727272727,mass balance
waste incineration from phb_waste,phb_waste,RAW MATERIALS,kg,-1.0,waste,0.5581395348837209,mass balance
waste incineration from pef_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pef_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pef_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pef_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pef_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pef_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pef_waste,co2_emission,EMISSION,kg,1.9340566666666668,emission,0.2727272727272727,mass balance
waste incineration from pef_waste,pef_waste,RAW MATERIALS,kg,-1.0,waste,0.52747,mass balance
