process,product_name,type,unit,value,product_type,carbon_content,data_source
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",heat,UTILITIES,MJ,-7.199999999999999,,,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",forest_residue,RAW MATERIALS,kg,-1.9901457882413798,raw_material,0.521,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",co2_feedstock,BY-PRODUCT CREDITS,kg,1.36,raw_material,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",co2_emission,EMISSION,kg,0.13,emission,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",co2_emission,EMISSION,kg,1.0668418374704494,emission,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",cooling_water,UTILITIES,MJ,-4.352,intermediate,0.0,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"hips_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.9982443310201967,intermediate,0.0,MK2
"hips_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2007899353607402,intermediate,0.0,MK2
"hips_mr, from mechanical recycling",hips_waste,RAW MATERIALS,kg,-1.0,waste,0.923,MK2
"hips_mr, from mechanical recycling",hips_mr,PRODUCT,kg,1.0,intermediate,0.923,MK2
"methanol, from hips_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from hips_waste gasification",hips_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.923,Prifti2023
"methanol, from hips_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from hips_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from hips_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from hips_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from hips_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from hips_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",agricultural_residue,RAW MATERIALS,kg,-1.20822174,intermediate,0.494,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",cellulose,PRODUCT,kg,1.0,intermediate,0.444,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",cooling_water,UTILITIES,MJ,-0.513251243622759,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",electricity,UTILITIES,kWh,-0.2874585517607059,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",enzyme,RAW MATERIALS,kg,-0.004071108258451006,intermediate,0.53,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",heat_high,UTILITIES,MJ,9.395107510382706,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",steam_high,UTILITIES,MJ,-2.09650284,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",water,RAW MATERIALS,kg,-7.631231354308848,raw_material,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",co2_emission,EMISSION,kg,0.8958820106495379,emission,0.2727272727272727,https://doi.org/10.1016/j.biortech.2015.11.008
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",methanol,PRODUCT,kg,1.0,intermediate,0.375,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",electricity,UTILITIES,kWh,-0.15488000000000002,intermediate,0.0,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",heat,UTILITIES,MJ,-7.199999999999999,,,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",agricultural_residue,RAW MATERIALS,kg,-1.9901457882413798,intermediate,0.494,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",co2_feedstock,BY-PRODUCT CREDITS,kg,1.36,raw_material,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",co2_emission,EMISSION,kg,0.13,emission,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",co2_emission,EMISSION,kg,0.8698174044345527,emission,0.2727272727272727,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from agricultural residue gasification, with co2 capture, according to Charalambous",cooling_water,UTILITIES,MJ,-4.352,intermediate,0.0,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"electricity_biogenic, from agricultural residue",agricultural_residue,RAW MATERIALS,kg,-0.5413533834586466,intermediate,0.494,BAT efficiency
"heat, high temperature, from agricultural residue",agricultural_residue,RAW MATERIALS,kg,-0.06349206349206349,intermediate,0.494,https://www.ieabioenergy.com/wp-content/uploads/2022/02/Role-of-biomass-in-industrial-heat.pdf
cooling water,cooling_water,PRODUCT,MJ,1.0,intermediate,0.0,JD
cooling water,electricity,UTILITIES,kWh,-5.94e-07,intermediate,0.0,JD
cooling water,water,RAW MATERIALS,kg,-0.62,raw_material,0.0,JD
"corn steep liquor, from corn",corn_steep_liquor,PRODUCT,kg,1.0,intermediate,0.3896,agri-footprint
"corn steep liquor, from corn",electricity,UTILITIES,kWh,-0.0006847435897435897,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",heat_high,UTILITIES,MJ,-0.03561784615384615,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",maize_grain,RAW MATERIALS,kg,-0.05030769230769231,raw_material,0.39,agri-footprint
"corn steep liquor, from corn",sulfur_dioxide,RAW MATERIALS,kg,-0.007043076923076924,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",water,RAW MATERIALS,kg,-0.0869206246153846,raw_material,0.0,agri-footprint
"electricity_biogenic, from forest residue",co2_emission,EMISSION,kg,0.9048947368421053,emission,0.2727272727272727,BAT efficiency
"heat, high temperature, from forest residue",co2_emission,EMISSION,kg,0.10612962962962963,emission,0.2727272727272727,https://www.ieabioenergy.com/wp-content/uploads/2022/02/Role-of-biomass-in-industrial-heat.pdf
"electricity_biogenic, from agricultural residue",co2_emission,EMISSION,kg,0.9805714285714284,emission,0.2727272727272727,BAT efficiency
