,Product,Location,GHG,Biodiversity,Scenario,Year,Ammonia,Carbon monoxide,NMVOC,Nitrogen oxides,Particulates,Sulfur dioxide,Sulfur oxides
1370,forest_residue,VE,0.015284280285783065,4.218675123478456,scenRCP1p9,2050,1.8586806819750232e-06,0.0005829083818428146,0.00017773412813917497,6.701491371557944e-05,5.351121804594039e-06,1.3957667352894048e-05,2.058427296118681e-08
1371,soybean_straw,CA,0.09706521743795729,0.7852114969886665,scenRCP1p9,2050,0.0002863647193768434,0.00016922147921830477,5.4157379991901704e-05,0.00032470326538748453,1.6025406315079594e-05,5.429064095305161e-05,2.8446420993978424e-07
1372,barley_straw,NAF,0.3426206243665973,4.350912864551142,scenRCP1p9,2050,0.0016304307759685789,0.0005263462957838063,0.00017535128642682575,0.0012004490693969163,4.968105932038914e-05,0.00022514805095466217,6.026614737790754e-07
1373,maize_stover,CEU,0.07147735945460401,0.6357903233354263,scenRCP1p9,2050,0.0005747903242769901,8.588152583352386e-05,3.70954698480772e-05,0.0002967923222175989,8.294867419642098e-06,5.035193259467829e-05,8.512938044614413e-08
1374,rice_straw,GA,0.10184991700512745,2.5708297439903847,scenRCP1p9,2050,5.223405192280192e-05,4.608576063351196e-05,1.4870996530234056e-05,8.716624753720631e-05,4.408392899403006e-06,1.3830640511262348e-05,3.5780551159121254e-08
1375,agricultural_residue,MM,0.6432296433154662,9.45314232630663,scenRCP1p9,2050,0.0003626063904250479,0.0001315444668658725,4.363950480445163e-05,0.0002916551818073557,1.2626578748147074e-05,4.958008156254082e-05,1.5064553260486436e-07
1376,sugarcane_tops_and_leaves,RCAM,0.10152392275358266,5.420129248099274,scenRCP1p9,2050,0.0005045226724746565,0.00011224164945327137,4.7128624822504446e-05,0.0003422155376133473,1.0739692702684592e-05,7.563060148376552e-05,7.303299011988205e-08
1377,maize_grain,IL,0.08881199208904378,2.3859508239827494,scenRCP1p9,2050,0.0006260051148614185,5.350619024541711e-05,3.620355060675125e-05,0.0002758691858029581,5.995019580889623e-06,0.00010753102933613177,6.98535154265883e-08
1378,forest_residue,UKR,0.020137636486750186,3.4062948391309384,scenRCP1p9,2050,1.8126985323528957e-06,0.0007003252035511062,0.00021435064335451471,8.928093633584223e-05,6.566321407371274e-06,2.1163073251894317e-05,2.350523203365739e-08
1379,maize_grain,GE,0.22800045546021055,4.74412271022036,scenRCP1p9,2050,0.0018184280676458498,0.0002681118069250936,0.00011112467126023815,0.0009269209391707339,2.5093567468826932e-05,0.00011046193765183755,2.731013796819547e-07
1380,barley_straw,KE,0.5846754405618089,27.133830865738215,scenRCP1p9,2050,0.0021970899114702107,0.001039896439713917,0.00031881269953681164,0.0020419240065091705,9.783340444019798e-05,0.00033595320974168143,1.1873240529207365e-06
1381,forest_residue_lbdv,RSAF,0.0200724444372943,1.0394387106738505,scenRCP1p9,2050,1.4143694672832377e-06,0.0005680536212926874,0.00017467491563954705,9.628549341545673e-05,6.346934048960817e-06,2.0112208825157422e-05,2.3545762613052803e-08
1382,wheat_straw,MN,0.12678124672474994,0.34919380525841576,scenRCP1p9,2050,0.000421744349751426,0.000131609704022508,4.572651723782751e-05,0.00032310192391485473,1.2506239467291943e-05,4.150549752011388e-05,1.1826097207491005e-07
1383,forest_residue,INDO,0.025483776500053637,9.691001487129231,scenRCP1p9,2050,1.6042054342415107e-06,0.0006861216787427027,0.0002113799442336776,0.00012532699550476539,7.762477233434145e-06,2.6001201898187558e-05,2.9689533336751084e-08
1384,agricultural_residue,CI,0.11329158293475274,2.683029937267439,scenRCP1p9,2050,0.0002465923857815879,0.0001000592959455295,3.477271997470745e-05,0.00022291505772642766,9.614361621236573e-06,4.203305318887122e-05,9.547734042269175e-08
1385,sugarcane_tops_and_leaves,BZ,0.14290031187432095,7.240962181719926,scenRCP1p9,2050,0.000646266290806221,0.0002070889282294547,8.826549387944718e-05,0.0005442156413266762,2.070616336627146e-05,0.0001652256520334483,1.495547913034792e-07
1386,wheat_straw,MZ,0.16531071760544117,9.044427587597001,scenRCP1p9,2050,0.00038528118026243233,0.00037478616696177985,0.00011467043865459668,0.0006775139783001488,3.576562222026836e-05,0.00010783043131349722,3.400440868400013e-07
1387,sorghum_straw,SN,0.11011536495275442,1.4258291191921184,scenRCP1p9,2050,0.0003036389412871268,0.00013483623023231557,4.428545952235421e-05,0.00028621141724245215,1.284078584445543e-05,4.692266213543955e-05,1.483546460381645e-07
1388,rice_straw_lbdv,EAF,0.09513130609451566,1.5822812015011327,scenRCP1p9,2050,4.878260817643417e-05,4.496295065128028e-05,1.426268028093344e-05,8.442792056393172e-05,4.316567817307253e-06,1.4115185841148544e-05,3.5213084089999566e-08
1389,forest_residue,ES,0.024107656173755543,9.470090975300348,scenRCP1p9,2050,2.119239696597149e-06,0.0008578388327511472,0.00026193796021518385,0.00010840339318701094,7.508466648967301e-06,2.2716489260396497e-05,2.678464564916043e-08
1390,maize_stover,SY,0.01600851160315823,0.19877730422915296,scenRCP1p9,2050,0.0001122542897701204,1.2147047575151684e-05,6.846577561871879e-06,5.243832690347776e-05,1.277846890724527e-06,1.6763856350806373e-05,1.4548950290087806e-08
1391,wheat_straw,BA,0.1569005906735217,4.677045279333011,scenRCP1p9,2050,0.0008862770129548177,0.0001940059559701615,7.675157623192094e-05,0.000562840730225467,1.8785249459459444e-05,0.00010461623526153043,1.815174109162663e-07
1392,forest_residue_lbdv,US,0.02033153909767189,1.6623178577440816,scenRCP1p9,2050,1.8095360536204159e-06,0.0007169893457976031,0.0002190513992898851,9.167381575691603e-05,6.3754498546245485e-06,1.970789447514067e-05,2.290022048993498e-08
